guid,title,pubDate,description,link,media
b'https://www.hindustantimes.com/world-news/china-us-agree-at-xi-trump-meeting-to-restart-trade-talks/story-HebJRcPXSKTCTvJjysv8lN.html',"b'China, US agree at Xi-Trump meeting to restart trade talks'","b'Sat, 29 Jun 2019 05:13:33 GMT '","b'The two countries will restart the talks \xe2\x80\x9con the basis of equality and mutual respect,\xe2\x80\x9d according to official news agency Xinhua.'",b'https://www.hindustantimes.com/world-news/china-us-agree-at-xi-trump-meeting-to-restart-trade-talks/story-HebJRcPXSKTCTvJjysv8lN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/29/Pictures/donald-trump-xi-jinping_0353f40e-9a2b-11e9-823a-db6d52757f3f.jpg
b'https://www.hindustantimes.com/india-news/17-dead-as-wall-collapses-in-pune-after-heavy-rains/story-rbYqHjFzWFrVaeE0vS5YrK.html',b'15 including 4 children crushed in midnight wall collapse in Pune',"b'Sat, 29 Jun 2019 05:04:28 GMT '","b'As per initial reports, the wall collapsed on a slum where labourers were staying.'",b'https://www.hindustantimes.com/india-news/17-dead-as-wall-collapses-in-pune-after-heavy-rains/story-rbYqHjFzWFrVaeE0vS5YrK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/29/Pictures/_7816d644-9a26-11e9-b4b1-9d5290fba395.png
b'https://www.hindustantimes.com/india-news/tmc-clarifies-after-order-on-schools-triggers-storm/story-ZAXGZUnRG9T52tw8c1Zj6K.html',b'TMC clarifies after order on schools triggers storm',"b'Sat, 29 Jun 2019 04:10:38 GMT '","b'The BJP, which has been persistently attacking the Trinamool Congress for alleged appeasement of Muslims, panned the Mamata Banerjee government over the move which, it claimed, was aimed at securing the ruling party\xe2\x80\x99s vote bank.'",b'https://www.hindustantimes.com/india-news/tmc-clarifies-after-order-on-schools-triggers-storm/story-ZAXGZUnRG9T52tw8c1Zj6K.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/29/Pictures/protest-rally-against-kolkata-clashes_235de890-9a21-11e9-b4b1-9d5290fba395.jpg
b'https://www.hindustantimes.com/india-news/no-biscuits-only-healthy-snacks-for-meets-health-ministry/story-hjLdOsmTardtYDMBLOA6LM.html',"b""'No biscuits, only healthy snacks for meets': Health Ministry""","b'Sat, 29 Jun 2019 03:28:53 GMT '","b'In an order released on Friday, the Ministry said, \xe2\x80\x9cThe Health and Family Welfare Minister has desired that healthy snacks only to be served in official meeting and biscuits are to be avoided.\xe2\x80\x9d '",b'https://www.hindustantimes.com/india-news/no-biscuits-only-healthy-snacks-for-meets-health-ministry/story-hjLdOsmTardtYDMBLOA6LM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/29/Pictures/rusk-biscuit-on-black-background_2c56267e-9a17-11e9-823a-db6d52757f3f.jpg
b'https://www.hindustantimes.com/india-news/congress-leaders-resign-to-convince-rahul-gandhi-to-stay/story-5GO4PCVZ8EhnwmpuPJA8OM.html',b'Congress leaders resign to convince Rahul Gandhi to stay',"b'Sat, 29 Jun 2019 03:18:21 GMT '","b'All India Congress Committee secretaries Prakash Joshi, Virender Rathore, Anil Choudhury, and Rajesh Dharmani, foreign cell secretary Virender Vashist, Mahila Congress general secretary Netta D\xe2\x80\x99Souza, and office-bearers in several state units of the party also resigned. '",b'https://www.hindustantimes.com/india-news/congress-leaders-resign-to-convince-rahul-gandhi-to-stay/story-5GO4PCVZ8EhnwmpuPJA8OM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/28/Pictures/_16a888c2-99d0-11e9-b4b1-9d5290fba395.png
b'https://www.hindustantimes.com/columns/the-mystery-of-the-missing-iit-girls/story-pUDHeRMuvZ8wodTN2UHR1N.html',b'The mystery of the missing IIT girls',"b'Sat, 29 Jun 2019 03:07:12 GMT '",b'Girls are keen to study engineering. So why do their numbers fall when it comes to the country\xe2\x80\x99s most prestigious institute?',b'https://www.hindustantimes.com/columns/the-mystery-of-the-missing-iit-girls/story-pUDHeRMuvZ8wodTN2UHR1N.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/28/Pictures/iit-jee-advance_b7d258ae-999e-11e9-b4b1-9d5290fba395.JPG
b'https://www.hindustantimes.com/cricket/world-cup-2019-sheldon-cottrell-hits-back-at-mohammed-shami-in-hindi/story-VCcOGuef6Yk6BeH8XyukJI.html',"b""World Cup 2019: Sheldon Cottrell on Mohammed Shami's salute celebration:&thinsp;'Nakal...""","b'Sat, 29 Jun 2019 02:40:29 GMT '","b'West Indies fast bowler Sheldon Cottrell took a jibe at Mohammed Shami, who tried to emulate Cottrell\xe2\x80\x99s salute celebration during the India vs West Indies World Cup match on Thursday.'",b'https://www.hindustantimes.com/cricket/world-cup-2019-sheldon-cottrell-hits-back-at-mohammed-shami-in-hindi/story-VCcOGuef6Yk6BeH8XyukJI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/28/Pictures/cricket-wc-2019-wis-ind_64197bda-99bb-11e9-8cf5-d8c3e6deb331.jpg
b'https://www.hindustantimes.com/india-news/iaf-praises-jaguar-pilot-dropped-practice-bombs-after-bird-hit/story-rkXSJuvuIIy5iKR72GfK1L.html',"b""'Saved lives': IAF praises Jaguar pilot who dropped practice bombs after bird h...""","b'Fri, 28 Jun 2019 04:59:29 GMT '","b'The IAF has released a 48-second video of the bird hit and the pilot\xe2\x80\x99s maneuvre that it said, saved the fighter jet and lives of many civilians living in the area near the airfield at Ambala.'",b'https://www.hindustantimes.com/india-news/iaf-praises-jaguar-pilot-dropped-practice-bombs-after-bird-hit/story-rkXSJuvuIIy5iKR72GfK1L.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/28/Pictures/_425ccb54-99bc-11e9-823a-db6d52757f3f.png
b'https://www.hindustantimes.com/editorials/the-basic-rules-of-travel-etiquette/story-lM0toRVvOVemoxSERmvhwL.html',b'The basic rules of travel etiquette',"b'Fri, 28 Jun 2019 01:36:01 GMT '",b'Respect your fellow travellers and keep the volume down',b'https://www.hindustantimes.com/editorials/the-basic-rules-of-travel-etiquette/story-lM0toRVvOVemoxSERmvhwL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/12/Pictures/kashmir-sonamarg-snow_c0887d44-8d1d-11e9-8cbe-ea25bc6af10d.jpg
b'https://www.hindustantimes.com/analysis/to-solve-the-liquidity-crisis-rbi-should-make-banks-lend-more-to-nbfcs/story-tat788WroLRFHpZjq9gxqM.html',"b'To solve the liquidity crisis, RBI should make banks lend more to NBFCs'","b'Fri, 28 Jun 2019 01:33:45 GMT '",b'The regulation of NBFCs has been falling through the cracks. Under the present laws NBFCs are regulated by RBI. RBI does not have the regulatory capacity to perform these regulatory functions',b'https://www.hindustantimes.com/analysis/to-solve-the-liquidity-crisis-rbi-should-make-banks-lend-more-to-nbfcs/story-tat788WroLRFHpZjq9gxqM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/05/04/Pictures/aniruddha-chowdhury-mumbai-mumbai-headquarters-reserve-photo_76e18068-6e60-11e9-adf4-e14f82ec3649.jpg
b'https://www.hindustantimes.com/columns/rahul-gandhi-wants-to-resign-here-s-why-this-may-be-farcical/story-tYMVdQR03PW7EP64XOL8tL.html',"b""Rahul Gandhi wants to resign. Here's why this may be farcical""","b'Fri, 28 Jun 2019 01:32:53 GMT '","b'If the Gandhis continue to control the party, they may as well give up any insistence on quitting'",b'https://www.hindustantimes.com/columns/rahul-gandhi-wants-to-resign-here-s-why-this-may-be-farcical/story-tYMVdQR03PW7EP64XOL8tL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/28/Pictures/gandhi-chairperson-sonia-gandhi-congress-president-rahul_c2164af6-999d-11e9-b4b1-9d5290fba395.jpg
b'https://www.hindustantimes.com/education/draft-of-new-education-policy-calls-for-overhaul-of-universities-system/story-xBKpvafPLc78KI4J2W72XN.html',b'Draft of new education policy calls for overhaul of universities system',"b'Fri, 28 Jun 2019 01:12:44 GMT '","b'Experts say the proposals are forward-looking and ambitious, but changes will need to be monitored  closely.'",b'https://www.hindustantimes.com/education/draft-of-new-education-policy-calls-for-overhaul-of-universities-system/story-xBKpvafPLc78KI4J2W72XN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/25/Pictures/creativity-and-team-data-conference_35505f4a-9749-11e9-823a-db6d52757f3f.jpg
b'https://www.hindustantimes.com/editorials/states-must-improve-their-health-spending/story-5Yp91AIzJaecmeJiMQDqPL.html',b'States must improve their health spending',"b'Wed, 26 Jun 2019 02:10:14 GMT '","b'There is room for improvement, including in the high-performing ones'",b'https://www.hindustantimes.com/editorials/states-must-improve-their-health-spending/story-5Yp91AIzJaecmeJiMQDqPL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/18/Pictures/doctor-s-nationwide-strike_14398162-9148-11e9-af8a-d24c1464451a.jpg
b'https://www.hindustantimes.com/editorials/pm-s-lok-sabha-speech-modi-s-message-is-clear/story-358EsqDbidpKfkWCj2NtnI.html',"b""PM's Lok&thinsp;Sabha speech: Modi's message is clear""","b'Wed, 26 Jun 2019 02:08:50 GMT '",b'That the Opposition is not willing to learn from its mistakes',b'https://www.hindustantimes.com/editorials/pm-s-lok-sabha-speech-modi-s-message-is-clear/story-358EsqDbidpKfkWCj2NtnI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/26/Pictures/budget-session-of-parliament_b36874f6-97ff-11e9-823a-db6d52757f3f.jpg
b'https://www.hindustantimes.com/analysis/reimagining-the-yamuna-can-help-transform-it/story-7hth5Dox5wXJjkUxf87X6N.html',b'Reimagining the Yamuna can help transform it',"b'Wed, 26 Jun 2019 02:07:02 GMT '","b'What if the river floodplain is re-imagined as an urban nucleus, communicating a value system that situates the capital city within its original riparian ecology? In a sense, we seek to create a sanctuary within the megacity, with the people as integral to the rejuvenation design'",b'https://www.hindustantimes.com/analysis/reimagining-the-yamuna-can-help-transform-it/story-7hth5Dox5wXJjkUxf87X6N.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/06/25/Pictures/world-water-day-2018_c01be45c-9738-11e9-b4b1-9d5290fba395.jpg
